acnotype,acno,acnoname,acnobnkcd,acnobnknm,cnprtacnotype,cnprtacno,cnprtname,cnprtbnkcd,cnprtbnknm,tranymd,tranprcssyms,rapdstcd,prdctctrcnth,transerno,ecaltrancncdcd,chnldstcd,chnidtalsbzwkdstcd,tranamt,cshtrferdstcd,hndinbnkcd,hndinbrncd,tranafbal,acncustidnfr,acncustmgtno,ntrcsumrydstcd,sumry,cardno,tranuno
01,110666555444,노태양,081,하나은행,01,110333222111,문지훈,004,국민은행,20250615,20250615104208206101,2,1,100001,0,01,01,53906,0,081,5678,8697885,C000000018,00018,001,컨설팅비,,U604900
01,110333222111,문지훈,004,국민은행,01,110666555444,노태양,081,하나은행,20250615,20250615104208206101,1,1,100002,0,01,01,53906,0,004,2345,6125045,C000000020,00020,002,컨설팅비,,U851462
01,110234567890,김철수,004,국민은행,01,110987654321,박영희,004,국민은행,20250608,20250608135514923555,2,1,100003,0,02,01,88276,0,004,3456,3533172,C000000001,00001,001,카드대금,,U378104
01,110987654321,박영희,004,국민은행,01,110234567890,김철수,004,국민은행,20250608,20250608135514923555,1,1,100004,0,02,01,88276,0,004,1234,1969836,C000000002,00002,002,카드대금,,U829252
01,110111000999,권나연,088,신한은행,01,110888777666,오채원,088,신한은행,20250927,20250927124226947199,2,1,100005,0,02,01,35776,0,088,9012,5614979,C000000017,00017,001,생활비지원,,U692358
01,110888777666,오채원,088,신한은행,01,110111000999,권나연,088,신한은행,20250927,20250927124226947199,1,1,100006,0,02,01,35776,0,088,9012,9967077,C000000012,00012,002,생활비지원,,U849723
01,110666777888,한지우,011,농협은행,01,110444555666,강민지,020,우리은행,20250712,20250712154437451420,2,1,100007,0,01,01,2401306,0,011,7890,2603819,C000000009,00009,001,교육비,,U240781
01,110444555666,강민지,020,우리은행,01,110666777888,한지우,011,농협은행,20250712,20250712154437451420,1,1,100008,0,01,01,2401306,0,020,8901,4004539,C000000006,00006,002,교육비,,U514601
01,110888777666,오채원,088,신한은행,01,110111000999,권나연,088,신한은행,20251125,20251125170241320540,2,1,100009,0,01,01,174779,0,088,0123,9792298,C000000012,00012,001,선물,,U505148
01,110111000999,권나연,088,신한은행,01,110888777666,오채원,088,신한은행,20251125,20251125170241320540,1,1,100010,0,01,01,174779,0,088,9012,5789758,C000000017,00017,002,선물,,U652918
01,110222111000,안유진,011,농협은행,02,ATM7297101971,ATM강남점,011,농협은행,20250911,20250911120737742777,2,1,100011,0,03,02,33849,1,011,7890,4261556,C000000014,00014,001,임대료,3189932631528773,U648815
01,110666555444,노태양,081,하나은행,01,110234567890,김철수,004,국민은행,20251216,20251216103758931365,2,1,100012,0,02,01,1331976,0,081,6789,7365909,C000000018,00018,001,임대료,,U880723
01,110234567890,김철수,004,국민은행,01,110666555444,노태양,081,하나은행,20251216,20251216103758931365,1,1,100013,0,02,01,1331976,0,004,2345,4865148,C000000001,00001,002,임대료,,U468314
01,110999000111,송하은,004,국민은행,01,110111000999,권나연,088,신한은행,20251120,20251120154815565160,2,1,100014,0,04,01,136434,0,004,2345,1818714,C000000010,00010,001,카드대금,,U906381
01,110111000999,권나연,088,신한은행,01,110999000111,송하은,004,국민은행,20251120,20251120154815565160,1,1,100015,0,04,01,136434,0,088,9012,5926192,C000000017,00017,002,카드대금,,U567253
01,110999888777,배수지,011,농협은행,01,110222333444,윤서준,081,하나은행,20250203,20250203141619848622,2,1,100016,0,01,01,210285,0,011,8901,2608577,C000000019,00019,001,통신비,,U158423
01,110222333444,윤서준,081,하나은행,01,110999888777,배수지,011,농협은행,20250203,20250203141619848622,1,1,100017,0,01,01,210285,0,081,4567,6010435,C000000008,00008,002,통신비,,U752028
01,110111222333,정수민,004,국민은행,01,110777888999,조은비,088,신한은행,20250527,20250527090029515144,2,1,100018,0,04,01,58908,0,004,3456,5642489,C000000005,00005,001,선물,,U492167
01,110777888999,조은비,088,신한은행,01,110111222333,정수민,004,국민은행,20250527,20250527090029515144,1,1,100019,0,04,01,58908,0,088,9012,8487620,C000000007,00007,002,선물,,U166420
01,110234567890,김철수,004,국민은행,01,110888777666,오채원,088,신한은행,20251103,20251103170454284894,2,1,100020,0,01,01,2686767,0,004,3456,2178381,C000000001,00001,001,의료비,,U803819
01,110888777666,오채원,088,신한은행,01,110234567890,김철수,004,국민은행,20251103,20251103170454284894,1,1,100021,0,01,01,2686767,0,088,9012,12479065,C000000012,00012,002,의료비,,U837268
01,110555444333,서준호,081,하나은행,01,110987654321,박영희,004,국민은행,20250509,20250509132445673941,2,1,100022,0,04,01,411500,0,081,6789,3380975,C000000013,00013,001,부동산거래,,U485539
01,110987654321,박영희,004,국민은행,01,110555444333,서준호,081,하나은행,20250509,20250509132445673941,1,1,100023,0,04,01,411500,0,004,4567,2381336,C000000002,00002,002,부동산거래,,U459262
01,110777666555,홍시우,004,국민은행,01,110555666777,이민수,020,우리은행,20250715,20250715124507926674,2,1,100024,0,02,01,4696187,0,004,1234,-25217,C000000015,00015,001,보험료,,U715179
01,110555666777,이민수,020,우리은행,01,110777666555,홍시우,004,국민은행,20250715,20250715124507926674,1,1,100025,0,02,01,4696187,0,020,6789,10328139,C000000003,00003,002,보험료,,U336984
